genres,id,original_language,overview,popularity,release_year,runtime,title,vote_average,vote_count,actors,director
"Adventure,Action,Animation,Fantasy,Science Fiction,Thriller",2114,en,"Led by a strange dream, scientist Aki Ross struggles to collect the eight spirits in the hope of creating a force powerful enough to protect the planet. With the aid of the Deep Eyes Squadron and her mentor, Dr. Sid, Aki must save the Earth from its darkest hate and unleash the spirits within.",26.074907999999997,2001,106,Final Fantasy: The Spirits Within,5.9,433,"Donald Sutherland,Ming-Na Wen,Alec Baldwin,Ving Rhames,Steve Buscemi,Peri Gilpin,James Woods,Jean Simmons,Keith David","Hironobu Sakaguchi,Motonori Sakakibara"
"Action,Adventure,Science Fiction",1771,en,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",74.50624599999999,2011,124,Captain America: The First Avenger,6.6,7047,"Chris Evans,Hugo Weaving,Tommy Lee Jones,Hayley Atwell,Sebastian Stan,Dominic Cooper,Samuel L. Jackson,Stanley Tucci,Toby Jones,Natalie Dormer,Amanda Righetti,Richard Armitage,Bruno Ricci,Neal McDonough,Derek Luke,Kenneth Choi,J. J. Feild,Stan Lee,Michael Brandon,Martin Sherman,William Hope,Lex Shrapnel,Oscar Pearce,Nicholas Pinnock,Marek Oravec,David Bradley,Leander Deeny,Sam Hoare,Jenna Coleman,Sophie Colquhoun,Simon Kunz,Kieran O'Connor,Doug Cockle,Ben Batt,Mollie Fitzgerald,Damon Driver,David McKail,Amanda Walker,Richard Freeman,Katherine Press,Sergio Covino,Marcello Walton,Anatole Taubman,Jan Pohl,Erich Redman,Rosanna Hoult,Naomi Slights,Kirsty Mather,Laura Haddock,James Payton,Ronan Raftery,Nick Hendrix,Luke Allen-Gale,Jack Gordon,Ben Uttley,Patrick Monckeberg",Joe Johnston
"Adventure,Action,Thriller",36643,en,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to a protect beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.",39.604363,1999,128,The World Is Not Enough,6.0,862,"Pierce Brosnan,Sophie Marceau,Robert Carlyle,Denise Richards,Robbie Coltrane,Desmond Llewelyn,John Cleese,Maria Grazia Cucinotta,Samantha Bond,Michael Kitchen,Colin Salmon,David Calder,Serena Scott Thomas,Judi Dench,Ulrich Thomsen,Claude-Oliver Rudolph,Patrick Malahide,Omid Djalili,Jeff Nuttall,John Albasiny",Michael Apted
Adventure,8619,en,"After an abrupt and violent encounter with a French warship inflicts severe damage upon his ship, a captain of the British Royal Navy begins a chase over two oceans to capture or destroy the enemy, though he must weigh his commitment to duty and ferocious pursuit of glory against the safety of his devoted crew, including the ship's thoughtful surgeon, his best friend.",36.973031,2003,138,Master and Commander: The Far Side of the World,6.9,790,"Russell Crowe,Paul Bettany,James D'Arcy,Billy Boyd,Joseph Morgan,Edward Woodall,Chris Larkin,Max Pirkis,Jack Randall,Max Benitz,Lee Ingleby,Richard Pates,Robert Pugh,Richard McCabe,Ian Mercer,Tony Dolan,David Threlfall,Bryan Dick,George Innes,William Mannering,Patrick Gallagher,Alex Palmer,Mark Lewis Jones,John DeSantis,Ousmane Thiam,Thierry Segall",Peter Weir
"Adventure,Fantasy,Drama,Romance",50620,en,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",99.687084,2012,115,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,"Kristen Stewart,Robert Pattinson,Taylor Lautner,Peter Facinelli,Elizabeth Reaser,Ashley Greene,Jackson Rathbone,Kellan Lutz,Nikki Reed,Billy Burke,Dakota Fanning,Jamie Campbell Bower,Maggie Grace,Mackenzie Foy,Michael Sheen,Cameron Bright,Chaske Spencer,MyAnna Buring,Christopher Heyerdahl,Julia Jones,Booboo Stewart,Andrea Powell,Christian Camargo,Daniel Cudmore,Guri Weinberg,Lee Pace,Rami Malek,Casey LaBow,Joe Anderson,Angela Sarafyan,Valorie Curry,Noel Fisher,Tyson Houseman,Lateef Crowder,Charlie Bewley,Billy Wagenseller,Mía Maestro,Wendell Pierce,Omar Metwally,Andrea Gabriel,Judi Shekoni,Tracey Heggins,Patrick Brennan,Lisa Howard,Marlane Barnes,Toni Trucks,Erik Odom,Amadou Ly,Janelle Froehlich,Masami Kosaka,Alex Rice,JD Pardo,Marisa Quinn,Bill Tangradi,Rebecca Barras,Abbie Dunn",Bill Condon
"Animation,Comedy,Family",65759,en,"Mumble the penguin has a problem: his son Erik, who is reluctant to dance, encounters The Mighty Sven, a penguin who can fly! Things get worse for Mumble when the world is shaken by powerful forces, causing him to brings together the penguin nations and their allies to set things right.",17.7735,2011,100,Happy Feet Two,5.8,373,"Elijah Wood,Robin Williams,Pink,E.G. Daily,Johnny A. Sanchez,Lombardo Boyar,Sofía Vergara,Common,Hugo Weaving,Brad Pitt,Matt Damon,Carlos Alazraqui,Jeffrey Garcia,Ava Acres,Benjamin Flores Jr.,Meibh Campbell,Magda Szubanski,Hank Azaria,Richard Carter,Lee Perry,Jai Sloper,Oscar Beard,Anthony LaPaglia,Danny Mann,Denise Blasor,Roger Narayan",George Miller
"Science Fiction,Action,Adventure",1724,en,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",62.898336,2008,114,The Incredible Hulk,6.1,3021,"Edward Norton,Liv Tyler,Tim Roth,William Hurt,Tim Blake Nelson,Ty Burrell,Christina Cabot,Peter Mensah,Lou Ferrigno,Paul Soles,Débora Nascimento,Greg Bryk,Genelle Williams,Chris Owens,Al Vrkljan,Adrian Hein,John MacDonald,Shaun McComb,Simon Wong,Pedro Salvín,Julio Cesar Torres Dantas,Raimundo Camargo Nascimento,Nick Alachiotis,Jason Burke,Grant Nickalls,Joris Jarsky,Arnold Pinnock,Tig Fong,Jason Hunter,Maxwell McCabe-Lokos,David Collins,Chris Ratz,John Carvalho,Robin Wilcock,Wayne Robson,Javier Lambert,Martin Starr,Todd Hofley,Joe La Loggia,Tamsen McDonough,Michael Kenneth Williams,Roberto Bakker,Ruru Sacha,James Downing,Rickson Gracie,Stephen Gartner,Nicholas Rose,P.J. Kerr,Jee-Yun Lee,Desmond Campbell,Deshaun Clarke,Tony Nappo,Aaron Berg,David Meunier,Tre Smith,Moses Nyarko,Carlos A. Gonzalez,Yan Regis,Stephen Broussard,Matt Purdy,Lenka Matuska,Scott Magee,Wes Berger,Carla Nascimento,Krista Vendy,Mila Stromboni,Robert Downey Jr.,Stan Lee",Louis Leterrier
"Adventure,Family,Fantasy",267935,en,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",44.19092,2016,120,The BFG,6.0,1000,"Ruby Barnhill,Mark Rylance,Rebecca Hall,Jemaine Clement,Bill Hader,Penelope Wilton,Marilyn Norry,Chris Shields,Matt Frewer,Geoffrey Wade,Rafe Spall,Haig Sutherland,John Emmet Tracy,Adam Godley,Daniel Bacon,Paul Moniz de Sa,Alejandro Cuello,Ólafur Darri Ólafsson,Michael Adamthwaite,Gabrielle Rose,Lucia Ryan,Julia Torrance,Graham Curry",Steven Spielberg
"Western,Drama,Adventure,Thriller",281957,en,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",100.635882,2015,156,The Revenant,7.3,6396,"Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Paul Anderson,Brad Carter,Kristoffer Joner,Lukas Haas,Brendan Fletcher,Joshua Burge,Robert Moloney,Grace Dove,Timothy Lyle,Kory Grim,Forrest Goodluck,Duane Howard,Arthur RedCloud,Vincent Leclerc,Emmanuel Bilodeau",Alejandro González Iñárritu
"Animation,Family",77950,en,The tale of an ordinary garden snail who dreams of winning the Indy 500.,44.765377,2013,96,Turbo,6.1,1074,"Ryan Reynolds,Paul Giamatti,Michael Peña,Samuel L. Jackson,Luis Guzmán,Bill Hader,Snoop Dogg,Maya Rudolph,Ben Schwartz,Richard Jenkins,Ken Jeong,Michelle Rodriguez",David Soren
"Animation,Comedy,Family,Western,Adventure",44896,en,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",29.913529999999998,2011,107,Rango,6.6,2051,"Johnny Depp,Isla Fisher,Ned Beatty,Bill Nighy,Alfred Molina,Abigail Breslin,Claudia Black,Timothy Olyphant,Ray Winstone,Stephen Root,Harry Dean Stanton,Ian Abercrombie,Gil Birmingham,James Ward Byrkit,Blake Clark,Keith Campbell,Beth Grant",Gore Verbinski
"Family,Animation,Adventure,Comedy",270946,en,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",84.366984,2014,92,Penguins of Madagascar,6.5,1346,"Tom McGrath,Chris Miller,Christopher Knights,Conrad Vernon,John Malkovich,Benedict Cumberbatch,Ken Jeong,Annet Mahendru,Peter Stormare,Andy Richter,Danny Jacobs,Werner Herzog,Sean Charmatz,Billy Eichner,Stephen Kearin,Ava Acres","Eric Darnell,Simon J. Smith"
"Action,Drama,Mystery,Thriller",2503,en,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",45.381501,2007,115,The Bourne Ultimatum,7.3,2888,"Matt Damon,Julia Stiles,David Strathairn,Scott Glenn,Paddy Considine,Edgar Ramírez,Albert Finney,Joan Allen,Tom Gallop,Corey Johnson,Daniel Brühl,Joey Ansah,Colin Stinton,Dan Fredenburgh,Lucy Liemann,Bryan Reents,Arkie Reece,John Roberson,Russ Huards,Mark Bazeley,Sinead O'Keefe,Chucky Venice,Scott Adkins,Branko Tomovic,Laurentiu Possa,Trevor St. John,Albert Jones,Jeffrey Lee Gibson,Uriel Emil Pollack,Omar Hernandez,William H. Burns,Michael Wildman,Kai Martin,Michael Ahl,David Boston,Glynis Brooks,James Ciccone,Sebastian Feldman,Luis Mottola,Mark Mottram,James Schram,Brian Smyj,Paul Thornton,John Warman,Chris Wilson,Ben Youcef",Paul Greengrass
"Adventure,Animation,Family,Comedy",9502,en,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",84.68964799999999,2008,90,Kung Fu Panda,6.9,3145,"Jack Black,Dustin Hoffman,Angelina Jolie,Jackie Chan,Lucy Liu,David Cross,Randall Duk Kim,James Hong,Dan Fogler,Ian McShane,Seth Rogen,Michael Clarke Duncan,Wayne Knight,Kyle Gass,JR Reed,Laura Kightlinger,Tanya Haden,Stephen Kearin,Mark Osborne,John Stevenson,Jeremy Shipp,Melissa Cobb,Kent Osborne,Emily Burns,Stephanie Harvey,Riley Osborne","Mark Osborne,John Stevenson"
"Science Fiction,Action,Adventure",102899,en,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",120.09361000000001,2015,117,Ant-Man,7.0,5880,"Paul Rudd,Michael Douglas,Evangeline Lilly,Corey Stoll,Bobby Cannavale,Michael Peña,T.I.,Anthony Mackie,Wood Harris,Judy Greer,Abby Ryder Fortson,David Dastmalchian,Martin Donovan,Hayley Atwell,John Slattery,Garrett Morris,Gregg Turkington,Rod Hallett,Joe Chrest,Joe Bucaro III,Jean Louisa Kelly,Dax Griffin,Hayley Lovitt,Norma Alvarez,Darcie Isabella Cottrell,Teddy Williams,Carol Anne Watts,Chuck David Willis,Diana Chiritescu,Neko Parham,Onira Tares,Kylen Davis,Zamani Wilder,Jim R. Coleman,Desmond Phillips,Aaron Saxton,Michael A. Cook,Ricki Lander,Rus Blackwell,Johnny Pemberton,Nicholas Barrera,Carlos Aviles,Lyndsi LaRose,Robert Crayton,Ajani Perkins,Jessejames Locorriere,Zack Duhame,Kevin Lacz,Michael Trisler,Daniel Stevens,Alex Chansky,Clay Donahue Fontenot,Michael Jamorski,Casey Pieretti,Antal Kalik,Adam Hart,Reuben Langdon,Todd Schneider,Kevin Buttimer,Danny Vasquez,Anna Akana,Stan Lee,Tom Kenny,Rick Avery,Erik Betts",Peyton Reed
"Adventure,Action,Science Fiction",101299,en,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",76.310119,2013,146,The Hunger Games: Catching Fire,7.4,6495,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Lenny Kravitz,Philip Seymour Hoffman,Jeffrey Wright,Stanley Tucci,Donald Sutherland,Toby Jones,Willow Shields,Sam Claflin,Lynn Cohen,Jena Malone,Amanda Plummer,Jack Quaid,Taylor St. Clair,Sandra Ellis Lafferty,Paula Malcomson,Bruce Bundy,Nelson Ascencio,Afemo Omilami,Kimberley Drummond,Deena Beasley,Leon Lamar,Mandy Neuhaus,Erika Bierman,Wilbur Fitzgerald,Patrick St. Esprit,Jill Jane Clements,James Sutton,Alan Ritchson,Stephanie Leigh Schlund,Meta Golding,Megan Hayes,Stef Dawson,James Logan,E. Roger Mitchell,Bruno Gunn,Maria Howell,Judd Lormand,Elena Sanchez,John Casino,Marian Green,Daniel Bernhardt,Ravi Naidu,Franco Castan,Sarah Turner Holland,Jared Allman,Laura Avnaim,Noëlle Renée Bercy",Francis Lawrence
"Fantasy,Comedy,Animation,Science Fiction,Family",228161,en,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",63.473086,2015,94,Home,6.8,1519,"Jim Parsons,Rihanna,Steve Martin,Jennifer Lopez,Matt Jones,Brian Stepanek,April Lawrence,Stephen Kearin,Brian Stepanek,Lisa Stewart,April Winchell",Tim Johnson
